Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
RSUD Ibnu Sina Gresik,4.2,1807,Alfatih Irawan (Irana),5,2026-07-18T05:12:32.350Z,"Alhamdulillah  suami berada di R.Dahlia.. pelayanan  sangat bagus, memuaskan ,ramah, sabar,  dan ruangan bersih... Terimakasih buat petugas R.Dahlia👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾"
RSUD Ibnu Sina Gresik,4.2,1807,Tatik Ezza,5,2026-07-18T04:44:05.313Z,Terima kasih ruang dahlia tempat nya bersih dan nyaman.. 🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,widya yuni,5,2026-07-18T04:43:09.108Z,puas untuk pelayanannya Terimakasih
RSUD Ibnu Sina Gresik,4.2,1807,33_Kharisma ilmiah Nur aufa,5,2026-07-18T04:41:41.993Z,
RSUD Ibnu Sina Gresik,4.2,1807,Naning Sri,5,2026-07-18T04:40:28.814Z,Perawat maupun dokter cara menangani nya disini baik dan ramah
RSUD Ibnu Sina Gresik,4.2,1807,Almeera Azzahra,5,2026-07-18T04:36:36.950Z,Sangat bagus pelayanannya
RSUD Ibnu Sina Gresik,4.2,1807,king'za gilang,5,2026-07-17T05:17:25.384Z,Terima kasih atas pelayanan diruang dahlia terhadap ibu saya kamarnya dingin dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Maria Dwi,5,2026-07-17T05:14:44.520Z,Dokter dan perawat semua baik dan ramah2. Terima kasih sudah memberikan pelayanan yg baik.
RSUD Ibnu Sina Gresik,4.2,1807,Nurul Khikmah,5,2026-07-17T05:07:07.006Z,Terima kasih buat perawat ruang dahlia yang ramah dan baik2
RSUD Ibnu Sina Gresik,4.2,1807,Faridah Hasana,5,2026-07-17T04:58:44.716Z,Terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 .ruangannya dingin dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Trya Sezha,5,2026-07-16T05:10:26.399Z,"perawatnya cukup rama, ruangnya cukup nyaman"
RSUD Ibnu Sina Gresik,4.2,1807,Shulaihah,5,2026-07-16T05:05:47.585Z,Baik sangat baik cukup bersih dan nyaman
RSUD Ibnu Sina Gresik,4.2,1807,purih slamet,5,2026-07-16T05:04:51.782Z,Pelayanan sangat baik dan ramah
RSUD Ibnu Sina Gresik,4.2,1807,Sumiati Farin,5,2026-07-16T02:52:33.807Z,Baik trimakasih perawat ruang Dahlia atas perawatan bapak sayaperawat sama dokter baik2
RSUD Ibnu Sina Gresik,4.2,1807,Rhea Aja,5,2026-07-15T05:17:11.971Z,Baik smua. Perawat juga perhatian n baik..terima kasih banyk smua perawat
RSUD Ibnu Sina Gresik,4.2,1807,Fatin Khoiroh,5,2026-07-10T01:11:12.688Z,"Terimakasih Ibnu Sina diruang Dahlia pelayanan slalu menyenangkan, kebersihan terjaga"
RSUD Ibnu Sina Gresik,4.2,1807,enggar mahendra,3,2026-07-10T00:47:01.306Z,Saya rawat inap diruang dahlia suasana kalau malam sunyi tapi kalau sore ada anak² jenguk pada berlarian ngintip² pasien lain menurutku kurang sopan yaa tp pelayanannya baik kok perawatnya juga ramah²... semoga makin sukses makin berkembang
RSUD Ibnu Sina Gresik,4.2,1807,Gemilang Citra Perdana,5,2026-07-10T00:11:33.169Z,"Saat di Kantin Ibnu Sina, saya mencari kopi susu tapi ndak ada yang jual, adanya secangkir kecil Good Day Cappucino seharga 10.000."
RSUD Ibnu Sina Gresik,4.2,1807,Sri Wahyuni,5,2026-07-09T03:50:27.249Z,Terima kasih atas pelayanan ruang Dahlia atas perawatan bapak saya perawatnya baik2 makasih Ibnu sina
RSUD Ibnu Sina Gresik,4.2,1807,Siti Qomariyah,4,2026-07-07T00:47:07.221Z,Untuk kamar dahlia tempatnya nyaman dan pelayanannya bagus
RSUD Ibnu Sina Gresik,4.2,1807,Putri Handayani,5,2026-07-07T00:46:17.684Z,Saat saya di rawat di rs ibnu sina terutama di ruangan dahlia pelayanan.nya sangat bagus dokter dan perawatnya pun sangat ramah terhadap pasien .
RSUD Ibnu Sina Gresik,4.2,1807,siswowati,5,2026-07-07T00:44:47.825Z,ruang an dahlia sangat nyaman dan bersih
RSUD Ibnu Sina Gresik,4.2,1807,hendri istirsha,5,2026-07-06T09:21:39.238Z,Pelayanan rawat jalan jauh lebih baik.apalagi fasilitas sangat nyaman
RSUD Ibnu Sina Gresik,4.2,1807,Imanda Nikma,5,2026-07-06T02:59:02.575Z,Terima kasih atas perawatan suami saya diruang Dahlia perawat dan dokter ramah 2
RSUD Ibnu Sina Gresik,4.2,1807,Adira Khanza,5,2026-07-06T02:47:52.336Z,Ruang dahlia sangat bagus dan nyaman perawatnya respon baik dan sopan pokoknya topp
RSUD Ibnu Sina Gresik,4.2,1807,Gupron Pron,5,2026-07-06T02:46:46.070Z,Ruang Dahlia nyaman perawatannya bagus
RSUD Ibnu Sina Gresik,4.2,1807,juwanto wanto,5,2026-07-06T02:40:38.160Z,"Ruang Dahlia sangat nyaman, semua faselitas terpenuhi, respon perawat cepat pokoknya pasien dan keluarganya nyaman"
RSUD Ibnu Sina Gresik,4.2,1807,Ipank Mprut,5,2026-07-06T00:40:12.624Z,Terima kasih atas pelayanan d ruang Dahlia semoga ke depan nya memberikan pelayanan yang jauh lebih baik lagi
RSUD Ibnu Sina Gresik,4.2,1807,Kokom Kuswanto,5,2026-06-30T04:42:49.529Z,
RSUD Ibnu Sina Gresik,4.2,1807,Safira Wahyu Pratiwi 051 A1-18,5,2026-06-30T04:41:20.605Z,Ruang dahlia pelayanannya the besttttt baikkk 😍 semuanya ramah2
RSUD Ibnu Sina Gresik,4.2,1807,Risa Dwipristiyanti,4,2026-06-28T14:47:39.805Z,Di mohon untuk keamanan satpam di pertegas lagi... Saya telah kehilangan hp saat MLM hari sekitar jam 2 jam 3 tgl 27 Juni 2026 dan yg kehilangan bukan cuma saya bahkan keluarga pasien lain kehilangan hp juga sama uang  saya sudah lapor pihak satpam ngk ada tindak lanjut lagi... Dan di mohon untuk cctv ruangan di perbaiki dan di tambah cctv lebih banyak lagi soalnya cctv ruangan kamar pasien telah rusak semua dan jam2 kunjungan pasien di mohon di batasi.. trimakasih 🙏
RSUD Ibnu Sina Gresik,4.2,1807,Ika Rahmawati,5,2026-06-27T02:26:30.314Z,Klinik Psikologi Klinis Alhamdulillah saya mendapatkan pelayanan yang baik. Dan semoga ada perkembangan yang baik untuk anak saya sesuai dengan arahan dan treatment yang dilakukan kami nanti di rumah.
RSUD Ibnu Sina Gresik,4.2,1807,Muhammad Fauzi,5,2026-06-26T01:39:08.781Z,Alhamdulillah klinik psikologi rumah sakit Ibnu Sina bisa memberikan solusi terbaik untuk permasalahan psikologi anak kami. Tks untuk Bu Dokter dan asisten.🙏🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,Ivan Nandasyah,5,2026-06-24T12:26:23.793Z,Pelayanan ramah dan cepat
RSUD Ibnu Sina Gresik,4.2,1807,Yanti Nur,3,2026-06-23T07:10:56.104Z,Kontrol sdh bbrp mnggu yang llu..administrasi sdh selesai.hsil ronsen jg sdh dberikan tp petugas tdk mnjelaskan apapun pdhl wktu itu saya sdh brtnya apa ini brlnjut k kasir apa gmn tp tdk ada pnjlsn lngsung aj saya plg krn saya blm prnh ksna jg brobt bru kli ini...dan stlh bbrp mnggu kmudian ada tlf dari pihak rumh skit menagih administrasi ronsen🤦🏻‍♀️.mhon lbh teliti lg soal administrasi n pnjlsan kpd pasien/kluarga pasien
RSUD Ibnu Sina Gresik,4.2,1807,Ferdi Firmansyah,1,2026-06-22T23:20:57.914Z,RUMAH SAKIT NEMEN
RSUD Ibnu Sina Gresik,4.2,1807,Dimas Andrean.f,5,2026-06-19T02:49:14.063Z,
RSUD Ibnu Sina Gresik,4.2,1807,Hadi Asih,5,2026-06-16T10:17:17.655Z,
RSUD Ibnu Sina Gresik,4.2,1807,Amin Abqory,1,2026-06-16T07:18:06.986Z,
RSUD Ibnu Sina Gresik,4.2,1807,Jessica Li,5,2026-06-15T00:11:50.046Z,
RSUD Ibnu Sina Gresik,4.2,1807,marina dewi fitriyani,5,2026-06-15T00:09:58.902Z,Fasilitas memadai
RSUD Ibnu Sina Gresik,4.2,1807,Reggina Reviana Hotari,5,2026-06-15T00:00:38.070Z,
RSUD Ibnu Sina Gresik,4.2,1807,PERDANU ANDRA RISKI OFFIANTO _,5,2026-06-13T04:52:25.718Z,"Pelayanan luar biasa! Stafnya ramah, dokter sangat komunikatif dan profesional, serta lingkungan rumah sakit yang bersih. Proses antrean juga teratur dan tidak memakan waktu lama. Gedung yang baru terasa nyaman walaupun antrean banyak."
RSUD Ibnu Sina Gresik,4.2,1807,Regita Naswa,4,2026-06-13T04:14:25.306Z,
RSUD Ibnu Sina Gresik,4.2,1807,siti nur faridah,5,2026-06-13T03:39:49.887Z,Pelayanannya ramah
RSUD Ibnu Sina Gresik,4.2,1807,Yulita Putri,5,2026-06-13T03:37:17.774Z,"pelayana baik, rs bersih"
RSUD Ibnu Sina Gresik,4.2,1807,Suryani Putro,5,2026-06-11T13:14:38.344Z,Terakhir kesini 2 th lalu.kemarin suami habis priksa dan opname disini lagi.kaget banget pelayanannya lebih cepat dan lebih nyaman.terimakasih para pegawai RS Ibnu sina atas pelayanannya
RSUD Ibnu Sina Gresik,4.2,1807,Alfi Kurnianti,1,2026-06-11T06:20:02.055Z,"Pelayanan lama, daftar poli gigi mulai set9 sampai jam set2 baru ditangani. Dokternya baru datang jam 11. Waktu dipanggil satu2, tidak sesuai nomor antrian. Yang datang belakangan ditangani duluan. Minta tolong untuk diperbaiki pelayanannya, meskipun bpjs tiap bulannya juga bayar. Terimakasih 🙏🏻"
RSUD Ibnu Sina Gresik,4.2,1807,Dwi Astuti,5,2026-06-09T05:34:58.426Z,Terima kasih buat semua perawat dahlia ygsudah merawat anka saya 🙏🙏🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,Elin Ernawati,5,2026-06-09T01:35:30.661Z,"Alhamdulillah,,,mulai tgl 8 bln 4 opname ygpertama,,sampai masuk yg ke2 di bln juni selama 8 hari so far so good,,,dari dr.siska welcome dg pertanyaan pasien dan bisa memahamkan sy,,begitupun dg dr.bedah di jelaskan begitu detail sekali,,,perawat dan petugas di ruang IXIA,,super duper baik sekali...langsung sigap cepat,,,trimakasih dokter,suster dan RSUD.IBNU SINA"
